Person ID,Person Name,Private?,Statuses Count,Number of Tweets,Number of Retweets,Retweet Count,Friends Count,Friends_IDS,Followers Count
2268,containergarden,false,5454,3200,16015,105918,1334,1334,3902
2266,SuziMcCoyGMG,false,7677,3194,16751,110333,1868,1868,4507
2189,hyperlocavore,false,31699,3191,18228,211521,6495,6495,12006
2254,urbangarden,false,8703,3200,18899,212631,3045,3045,4214
2269,gardenofwords,false,12719,3195,19191,213783,1516,1516,3002
2241,theediblegarden,false,16972,3200,19333,213936,4919,4919,4606
2271,gardenmentor,false,7054,3160,19689,219845,1800,1800,2944
2270,TheYarden,false,8728,3200,20380,220615,3454,3454,3832
2273,torontogardens,false,12891,3200,20808,230956,911,911,2728
2274,C_Vanderlinden,false,11246,3195,21721,237003,796,796,2769
2272,Learn2Grow,false,4483,3193,22144,237728,3403,3403,4304
2275,VictoryGardenTV,false,522,519,22215,237870,679,679,2182
2209,steveffeo,false,6218,3188,22325,240980,6816,6816,6559
2277,sweetrebecca,false,5794,3200,22611,241320,674,674,2287
2276,RobinRipley,false,8083,3200,22683,256950,1057,1057,1935
2278,TeeRiddle,false,20079,3152,22732,257006,168,168,2520
2226,birdsblooms,false,2235,2249,23646,258006,3418,3418,6965
2279,CountryGardener,false,2405,2405,23687,258578,497,497,1999
2186,SunsetMag,false,1625,1637,26381,280214,25993,0,29437
2283,plantweb,false,15155,3199,26515,280400,21680,0,19297
2188,ImproveYourHome,false,1108,1106,26902,281080,12242,0,18051
2217,GardeningInfo,false,21619,3199,27019,281201,5588,5588,6260
2281,flower_power00,false,168,166,27043,281228,1565,1565,2494
2280,WDCGardener,false,8816,3197,28065,294911,3572,3572,3525
2285,MorganBotanical,false,4805,3195,29128,303524,1214,1214,2562
2282,EasyGardeners,false,4172,3200,29280,303688,2946,2946,2846
2284,PatFitzGerald,false,10317,3198,29782,308335,3013,3013,3284
2289,Gardening4Life,false,369,369,29786,308432,1121,1121,1546
2287,janeperrone,false,2558,2584,30137,310584,1181,1181,2903
2290,Amy_Stewart,false,1600,1605,30659,330320,257,257,2156
2286,FlowerBox,true,394,0,30659,330320,4037,0,3206
2288,gardenjot,false,308,308,30670,330332,687,687,2457
2174,BatesNursery,false,9828,3197,31540,332202,70934,0,76097
2291,myskinnygarden,false,9126,3199,31733,365210,611,611,1511
2292,Plantpassion,false,5828,3199,31993,365625,437,437,1926
2205,jeanannvk,false,14251,3199,32453,366372,6346,6346,8293
2293,digthedirt,false,538,540,32522,366463,1310,1310,2064
2294,gardenweb,false,82,82,32530,366477,180,180,1294
2295,NaturesGardener,false,134,134,32540,366487,644,644,1911
2296,RyansGarden,false,18881,3199,32820,391374,886,886,2554
2297,compostman,false,1277,1274,32843,399649,584,584,953
2300,douggreen,false,2499,2502,32915,404727,396,396,1634
2298,NWGardenFlora,false,760,760,32915,404728,1778,1778,1674
2301,genosgarden,false,1461,1458,32942,404945,620,620,1128
2299,wildwestgardens,false,862,864,32980,405137,1823,1823,1591
2302,AllotmentGarden,false,118,118,32982,405139,504,504,1433
2303,SassyNancy,false,5056,3200,33238,411755,979,979,1208
2306,CityGardening,false,661,660,33451,412211,215,215,1834
2305,truegrit,false,5366,3197,33504,420253,307,307,531
2225,southerngardens,false,597,597,33513,420332,5652,5652,4915
2304,gardeningabc,false,88,87,33514,420333,910,910,649
2185,Cocoxochitl,false,32703,3196,37166,431783,21742,0,24138
2247,SeasonalWisdom,false,11776,3200,38752,433458,3143,3143,5314
2307,DanielsPlantFoo,false,126,126,38754,433616,1936,1936,1230
2309,heather4evr,false,1819,1815,38774,444703,60,60,1312
2310,GWI,false,1361,1360,38803,444741,439,439,1101
2308,sunshine_garden,false,161,157,38803,444741,891,891,894
2311,SE_SeedExchange,false,89,84,38834,444824,65,65,316
2312,AllotmentAli,false,19998,3198,38938,488675,792,792,1295
2315,nativeplants,false,140,139,38960,488704,327,327,654
2314,jennahw,false,11690,3199,38997,502948,1225,1225,949
2316,Gardora,false,2602,2613,39088,503048,475,475,987
2313,GetInTheGarden,false,15769,3199,39382,503399,1846,1846,3402
2245,GardeningGuide,false,1100,1095,39501,503561,1957,1957,5316
2317,icangarden,false,1847,1840,39540,504542,1261,1261,1402
2318,rascallyjen,false,5449,3200,39554,747013,1201,1201,1269
2321,SusanReimer,false,1649,1654,39706,747894,411,411,1616
2322,srkitchengarden,false,897,904,40128,748565,156,156,3051
2319,urbangardens,false,8077,3195,42325,753388,2677,2677,15404
2320,MySchoolGarden,false,97,96,42341,753691,2624,2624,2796
2325,gardeninheels,false,1263,1263,42349,753704,426,426,1945
2324,finegardening,false,1876,1886,42800,754210,1146,1146,8544
