id,at_out_rt_in R^2,p,at_in_rt_in R^2,p,at_clos_rt_in R^2,p,at_pag_rt_in R^2,p,ff_out_rt_in R^2,p,ff_in_rt_in R^2,p,ff_clos_rt_in R^2,p,ff_pag_rt_in R^2,p
361,0.383,0.000,0.708,0.000,0.231,0.007,0.366,0.000,-0.003,0.970,0.724,0.000,0.002,0.983,0.758,0.000
365,0.170,0.057,0.693,0.000,0.163,0.068,0.533,0.000,0.012,0.891,0.779,0.000,-0.044,0.622,0.757,0.000
367,0.545,0.000,0.609,0.000,0.315,0.001,0.155,0.109,0.314,0.001,0.489,0.000,0.209,0.026,0.530,0.000
369,0.445,0.000,0.726,0.000,0.237,0.005,0.392,0.000,0.175,0.040,0.611,0.000,0.159,0.062,0.637,0.000
371,0.466,0.000,0.628,0.000,0.291,0.000,0.147,0.076,0.173,0.037,0.674,0.000,0.031,0.707,0.649,0.000
373,0.274,0.003,0.663,0.000,0.326,0.000,0.448,0.000,0.119,0.199,0.589,0.000,0.064,0.489,0.631,0.000
379,0.310,0.001,0.575,0.000,0.341,0.000,0.204,0.033,0.045,0.638,0.541,0.000,0.073,0.444,0.544,0.000
385,0.250,0.175,0.577,0.001,0.282,0.124,0.380,0.035,0.059,0.743,0.613,0.000,-0.320,0.070,0.617,0.000
387,0.519,0.000,0.556,0.000,0.439,0.000,0.218,0.014,0.081,0.367,0.700,0.000,0.090,0.320,0.666,0.000
389,0.429,0.000,0.594,0.000,0.370,0.000,0.143,0.144,0.238,0.014,0.492,0.000,0.242,0.012,0.539,0.000
391,0.379,0.000,0.507,0.000,0.347,0.001,0.084,0.434,0.052,0.627,0.090,0.401,-0.085,0.427,0.465,0.000
395,0.313,0.000,0.537,0.000,0.236,0.007,0.324,0.000,0.046,0.603,0.371,0.000,0.103,0.241,0.588,0.000
397,0.389,0.000,0.520,0.000,0.238,0.025,0.223,0.037,0.137,0.185,0.526,0.000,0.071,0.494,0.353,0.000
399,0.570,0.000,0.669,0.000,0.360,0.000,0.200,0.030,0.203,0.027,0.669,0.000,0.163,0.076,0.646,0.000
401,-0.076,0.466,0.360,0.000,0.026,0.806,0.258,0.012,-0.093,0.368,0.573,0.000,-0.029,0.778,0.702,0.000
403,0.443,0.000,0.731,0.000,0.318,0.000,0.371,0.000,0.297,0.001,0.779,0.000,0.152,0.087,0.752,0.000
405,0.342,0.001,0.786,0.000,0.221,0.030,0.443,0.000,-0.018,0.858,0.705,0.000,0.033,0.745,0.733,0.000
407,0.483,0.000,0.863,0.000,0.362,0.000,0.592,0.000,0.143,0.099,0.843,0.000,0.024,0.783,0.839,0.000
