Name,Group1,Group2,Number_between_ties,Competing_lists,FF_bin_degree,FF_bin_in_degree,FF_bin_out_degree,FF_bin_betweeness,FF_own_group_in_volume,FF_other_group_in_volume,FF_own_group_out_volume,FF_other_group_out_volume,AT_bin_degree,AT_bin_in_degree,AT_bin_out_degree,AT_bin_betweeness,AT_volume_in,AT_volume_out,AT_own_group_in_volume,AT_other_group_in_volume,AT_own_group_out_volume,AT_other_group_out_volume,RT_total_volume_in,RT_total_volume_out,RT_own_group_in_volume,RT_other_group_in_volume,RT_own_group_out_volume,RT_other_group_out_volume
eurogamer,gaming,surfing,26.0,1,0.34328358209,0.134328358209,0.208955223881,0.00219901873534,27.0,0,42.0,0,0.00497512437811,0.00497512437811,0.0,0.0,1.0,0,1.0,0,0,0,6.0,0,6.0,0,0,0
SurferLiving,gaming,surfing,26.0,1,0.208955223881,0.0348258706468,0.174129353234,0.000202161883461,7.0,0,35.0,0,0.154228855721,0.00497512437811,0.149253731343,0.00917379316351,3.0,45.0,3.0,0,45.0,0,4.0,4.0,4.0,0,4.0,0
joystiq,gaming,surfing,26.0,2,0.378109452736,0.208955223881,0.169154228856,0.00488660953519,42.0,0,34.0,0,0.0696517412935,0.0547263681592,0.0149253731343,0.0186500337625,14.0,3.0,14.0,0,3.0,0,17.0,0,17.0,0,0,0
redbullsurf,gaming,surfing,26.0,1,0.248756218905,0.203980099502,0.044776119403,0.000427560683908,41.0,0,9.0,0,0.0199004975124,0.0199004975124,0.0,0.0,6.0,0,6.0,0,0,0,1.0,0,1.0,0,0,0
SurfAid,gaming,surfing,26.0,1,0.432835820896,0.189054726368,0.243781094527,0.0020894735764,38.0,0,49.0,0,0.0646766169154,0.00995024875622,0.0547263681592,0.000629839433889,2.0,15.0,2.0,0,15.0,0,14.0,15.0,14.0,0,15.0,0
bungietweets,gaming,surfing,26.0,1,0.194029850746,0.124378109453,0.0696517412935,0.000522461028107,25.0,0,14.0,0,0.0597014925373,0.0149253731343,0.044776119403,0.0102029187917,3.0,18.0,3.0,0,18.0,0,20.0,10.0,20.0,0,10.0,0
Stepto,gaming,surfing,26.0,1,0.199004975124,0.149253731343,0.0497512437811,0.000549123353114,30.0,0,10.0,0,0.129353233831,0.0796019900498,0.0497512437811,0.016852290522,161.0,159.0,161.0,0,159.0,0,11.0,73.0,11.0,0,73.0,0
Volcom,gaming,surfing,26.0,2,0.636815920398,0.218905472637,0.417910447761,0.120092282756,43.0,1.0,80.0,4.0,0.0945273631841,0.0796019900498,0.0149253731343,0.000797594111652,70.0,3.0,70.0,0,3.0,0,33.0,3.0,33.0,0,3.0,0
coco_ho,gaming,surfing,26.0,1,0.432835820896,0.283582089552,0.149253731343,0.00167625636071,57.0,0,30.0,0,0.228855721393,0.134328358209,0.0945273631841,0.00257795017468,111.0,66.0,111.0,0,66.0,0,44.0,27.0,44.0,0,27.0,0
QuiksilverUSA,gaming,surfing,26.0,2,0.353233830846,0.203980099502,0.149253731343,0.00197685593055,41.0,0,30.0,0,0.10447761194,0.0597014925373,0.044776119403,0.0048782356942,62.0,14.0,62.0,0,14.0,0,126.0,146.0,126.0,0,146.0,0
kerr_azy1,gaming,surfing,26.0,1,0.47263681592,0.298507462687,0.174129353234,0.0013405664905,60.0,0,35.0,0,0.283582089552,0.179104477612,0.10447761194,0.00183970067166,244.0,124.0,244.0,0,124.0,0,45.0,30.0,45.0,0,30.0,0
whoisjob,gaming,surfing,26.0,1,0.636815920398,0.278606965174,0.358208955224,0.137786988406,55.0,1.0,69.0,3.0,0.318407960199,0.174129353234,0.144278606965,0.0208645555753,218.0,217.0,218.0,0,217.0,0,53.0,25.0,53.0,0,25.0,0
billabongusa,gaming,surfing,26.0,1,0.228855721393,0.1592039801,0.0696517412935,0.000271957632563,32.0,0,14.0,0,0.089552238806,0.0547263681592,0.0348258706468,0.00401127025913,35.0,17.0,35.0,0,17.0,0,34.0,41.0,34.0,0,41.0,0
GLOBEsurf,gaming,surfing,26.0,1,0.328358208955,0.174129353234,0.154228855721,0.00071634304757,35.0,0,31.0,0,0.0497512437811,0.044776119403,0.00497512437811,7.2501908036e-05,16.0,2.0,16.0,0,2.0,0,9.0,7.0,9.0,0,7.0,0
GamePro,gaming,surfing,26.0,1,0.646766169154,0.1592039801,0.487562189055,0.00853131344921,32.0,0,98.0,0,0.0298507462687,0.0248756218905,0.00497512437811,0.00294679246265,8.0,1.0,8.0,0,1.0,0,4.0,5.0,4.0,0,5.0,0
mattwilko8,gaming,surfing,26.0,1,0.422885572139,0.278606965174,0.144278606965,0.00198045926213,56.0,0,29.0,0,0.253731343284,0.154228855721,0.0995024875622,0.00195706588068,238.0,105.0,238.0,0,105.0,0,55.0,4.0,55.0,0,4.0,0
aots,gaming,surfing,26.0,1,0.1592039801,0.0746268656716,0.0845771144279,0.000288109947538,15.0,0,17.0,0,0.0497512437811,0.0298507462687,0.0199004975124,0.0159950825777,44.0,10.0,44.0,0,10.0,0,6.0,10.0,6.0,0,10.0,0
billabongpro,gaming,surfing,26.0,1,0.179104477612,0.154228855721,0.0248756218905,5.57686556794e-05,31.0,0,5.0,0,0.114427860697,0.0696517412935,0.044776119403,0.000603208447656,72.0,20.0,72.0,0,20.0,0,91.0,1.0,91.0,0,1.0,0
dragonage,gaming,surfing,26.0,1,0.218905472637,0.0995024875622,0.119402985075,0.000798083643812,20.0,0,24.0,0,0.0298507462687,0.00995024875622,0.0199004975124,0.0188406601428,5.0,5.0,5.0,0,5.0,0,29.0,9.0,29.0,0,9.0,0
pmolyneux,gaming,surfing,26.0,1,0.164179104478,0.139303482587,0.0248756218905,0.000125102031991,28.0,0,5.0,0,0.0348258706468,0.00995024875622,0.0248756218905,0.00653274110519,13.0,7.0,13.0,0,7.0,0,6.0,0,6.0,0,0,0
Surfersvillage,gaming,surfing,26.0,1,0.218905472637,0.18407960199,0.0348258706468,0.000255413733725,37.0,0,7.0,0,0.0149253731343,0.00995024875622,0.00497512437811,1.18455342336e-05,2.0,1.0,2.0,0,1.0,0,6.0,3.0,6.0,0,3.0,0
majornelson,gaming,surfing,26.0,1,0.278606965174,0.268656716418,0.00995024875622,0.000277539337392,54.0,0,2.0,0,0.134328358209,0.0945273631841,0.0398009950249,0.0572326315573,196.0,144.0,196.0,0,144.0,0,135.0,46.0,135.0,0,46.0,0
TheKevinButler,gaming,surfing,26.0,1,0.333333333333,0.149253731343,0.18407960199,0.00211804647993,30.0,0,37.0,0,0.0398009950249,0.0199004975124,0.0199004975124,0.00729875980512,7.0,10.0,7.0,0,10.0,0,11.0,0,11.0,0,0,0
jordysmith88,gaming,surfing,26.0,1,0.358208955224,0.323383084577,0.0348258706468,0.000163590130934,65.0,0,7.0,0,0.189054726368,0.149253731343,0.0398009950249,0.00197179245788,195.0,21.0,195.0,0,21.0,0,34.0,0,34.0,0,0,0
xplay,gaming,surfing,26.0,1,0.278606965174,0.134328358209,0.144278606965,0.00246814025833,27.0,0,29.0,0,0.0746268656716,0.0398009950249,0.0348258706468,0.0104862511095,21.0,48.0,21.0,0,48.0,0,83.0,22.0,83.0,0,22.0,0
EASPORTS,gaming,surfing,26.0,1,0.303482587065,0.119402985075,0.18407960199,0.00108427559055,24.0,0,37.0,0,0.0149253731343,0.0,0.0149253731343,0.0,0,15.0,0,0,15.0,0,35.0,4.0,35.0,0,4.0,0
ESPN_Surf,gaming,surfing,26.0,1,0.636815920398,0.273631840796,0.363184079602,0.00467708593373,55.0,0,73.0,0,0.208955223881,0.0497512437811,0.1592039801,0.00138015414889,16.0,81.0,16.0,0,81.0,0,52.0,55.0,52.0,0,55.0,0
surfingmagazine,gaming,surfing,26.0,1,0.681592039801,0.303482587065,0.378109452736,0.0058664454712,61.0,0,76.0,0,0.213930348259,0.10447761194,0.109452736318,0.00315416399872,52.0,50.0,52.0,0,50.0,0,90.0,8.0,90.0,0,8.0,0
MyNintendoNews,gaming,surfing,26.0,1,0.278606965174,0.0696517412935,0.208955223881,0.000873695053068,14.0,0,42.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6.0,0,0,6.0,0
SWTOR,gaming,surfing,26.0,1,0.0945273631841,0.0796019900498,0.0149253731343,2.84223330139e-05,16.0,0,3.0,0,0.0149253731343,0.00995024875622,0.00497512437811,0.000210308141278,2.0,1.0,2.0,0,1.0,0,4.0,5.0,4.0,0,5.0,0
dfrankenreiter,gaming,surfing,26.0,1,0.26368159204,0.18407960199,0.0796019900498,0.000495918624466,37.0,0,16.0,0,0.0945273631841,0.0497512437811,0.044776119403,0.00410420068266,20.0,17.0,20.0,0,17.0,0,5.0,2.0,5.0,0,2.0,0
RipCurlPro,gaming,surfing,26.0,1,0.398009950249,0.169154228856,0.228855721393,0.00101080173573,34.0,0,46.0,0,0.0945273631841,0.0696517412935,0.0248756218905,0.000105793492916,49.0,5.0,49.0,0,5.0,0,72.0,7.0,72.0,0,7.0,0
IanWalsh4,gaming,surfing,26.0,1,0.482587064677,0.26368159204,0.218905472637,0.00185705659155,53.0,0,44.0,0,0.258706467662,0.144278606965,0.114427860697,0.0121629090847,108.0,110.0,108.0,0,110.0,0,32.0,27.0,32.0,0,27.0,0
insurfnews,gaming,surfing,26.0,1,0.213930348259,0.179104477612,0.0348258706468,2.75388379416e-05,36.0,0,7.0,0,0.0248756218905,0.0149253731343,0.00995024875622,0.0,4.0,4.0,4.0,0,4.0,0,0,0,0,0,0,0
surffit,gaming,surfing,26.0,1,0.208955223881,0.0995024875622,0.109452736318,0.0268381379598,18.0,2.0,19.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
PC_Gamer,gaming,surfing,26.0,1,0.149253731343,0.0547263681592,0.0945273631841,0.00129998333464,11.0,0,19.0,0,0.0298507462687,0.00995024875622,0.0199004975124,0.00458018888489,6.0,16.0,6.0,0,16.0,0,20.0,1.0,20.0,0,1.0,0
