Project,Community,Person_ID,Competing_lists,FF_bin_degree,FF_bin_in_degree,FF_bin_out_degree,FF_vol_in,FF_vol_out,FF_groups_in,FF_groups_out,FF_rec,FF_bin_betweeness,AT_bin_degree,AT_bin_in_degree,AT_bin_out_degree,AT_vol_in,AT_vol_out,AT_groups_in,AT_groups_out,AT_rec,AT_bin_betweeness,AT_avg_tie_strength,AT_strength_centrality_in,RT_bin_in_degree,RT_bin_out_degree,RT_vol_in,RT_vol_out
584,psychology_mentalhealth,shiftstigma,1,0.00408089779752,0.00138030366681,0.00270059413071,23.0,45.0,11,24,0.236363636364,9.8317004103e-06,0.000840184840665,0.000180039608714,0.000660145231951,5.0,19.0,3,7,0.0769230769231,8.21080645134e-06,1.71428571429,1.67,6.00132029046e-05,0.0,1.0,0
584,publicrelations,PRwise,2,0.0428494268739,0.0247854527996,0.0180639740743,413.0,301.0,103,95,0.728813559322,7.2978790545e-05,0.00120026405809,0.000480105623237,0.000720158434856,9.0,20.0,8,5,0.0,2.17023958894e-06,1.45,2.72,0.000540118826142,6.00132029046e-05,9.0,1.0
584,publicrelations,prsarahevans,2,0.120566524635,0.0441097041349,0.0764568205005,735.0,1274.0,128,139,0.302853437095,0.00170138880867,0.0156634459581,0.00714157114565,0.00852187481246,307.0,310.0,58,47,0.12987012987,0.0019204753334,2.36398467433,120.903151927,0.00186040929004,0.000960211246474,40.0,18.0
584,publicrelations,briansolis,3,0.0646342195283,0.0468703114685,0.0177639080598,781.0,296.0,131,58,0.200668896321,0.000215659512082,0.0312668787133,0.020764568205,0.0105023105083,1480.0,480.0,83,52,0.189497716895,0.00525327321783,3.76199616123,608.688734282,0.0052211486527,0.00276060733361,315.0,72.0
584,publicrelations,journalistics,1,0.0580927804117,0.0240052811619,0.0340874992498,400.0,568.0,103,110,0.482388973966,0.000601779419649,0.00486106943528,0.000840184840665,0.00402088459461,23.0,161.0,9,26,0.0519480519481,0.000102077224113,2.27160493827,9.39224489796,0.00090019804357,0.000240052811619,17.0,10.0
584,publicrelations,leeodden,3,0.0250855188141,0.0173438156394,0.0077417031747,289.0,129.0,78,35,0.412162162162,3.18029017698e-05,0.0103222708996,0.00438096381204,0.00594130708756,378.0,593.0,26,29,0.323076923077,0.000656565499066,5.64534883721,144.602152134,0.00120026405809,0.00156034327552,57.0,48.0
584,publicrelations,Steveology,3,0.116245574026,0.0584528596291,0.0577927143972,974.0,963.0,136,135,0.880582524272,0.000570602055987,0.00936205965312,0.00420092420332,0.0051611354498,264.0,604.0,19,24,0.258064516129,0.000342026253528,5.5641025641,117.72390435,0.00078017163776,0.001260277261,14.0,33.0
584,publicrelations,rachelakay,1,0.037748304627,0.0168036968133,0.0209446078137,280.0,349.0,70,72,0.686327077748,4.18260462747e-05,0.00564124107304,0.00162035647843,0.00402088459461,88.0,161.0,16,26,0.253333333333,0.000163188474578,2.64893617021,37.9314883529,0.000240052811619,0.000120026405809,5.0,2.0
584,publicrelations,CouncilPRFirms,1,0.00720158434856,0.00228050171038,0.00492108263818,38.0,82.0,22,25,0.2,9.3609551552e-07,0.00108023765228,6.00132029046e-05,0.00102022444938,5.0,25.0,1,11,0.0588235294118,5.42978443392e-06,1.66666666667,0.95,0.000180039608714,0.000120026405809,3.0,2.0
584,publicrelations,PRjobs,2,0.0219048190602,0.00948208605893,0.0124227330013,158.0,207.0,45,55,0.448412698413,2.52359887007e-05,0.00240052811619,0.00120026405809,0.00120026405809,136.0,43.0,5,9,0.142857142857,2.63818248131e-05,4.475,95.67,0.000120026405809,0.000180039608714,3.0,3.0
584,publicrelations,PR4YOU,1,0.0178839344656,0.00708155794275,0.0108023765228,118.0,180.0,49,72,0.619565217391,4.57899775817e-05,0.000120026405809,0.0,0.000120026405809,0,6.0,0,2,0.0,5.46258820516e-05,3.0,0,6.00132029046e-05,0.0,1.0,0
584,publicrelations,cubanalaf,1,0.0166236572046,0.00762167676889,0.0090019804357,127.0,150.0,46,53,0.364532019704,2.90918107118e-05,0.00396087139171,0.00222048850747,0.00174038288423,130.0,111.0,17,20,0.2,5.70413963622e-05,3.65151515152,59.005452484,6.00132029046e-05,0.000360079217428,1.0,6.0
584,publicrelations,PR_Doktor,1,0.0013202904639,0.000840184840665,0.000480105623237,14.0,8.0,8,6,0.466666666667,8.10398559416e-07,0.000420092420332,6.00132029046e-05,0.000360079217428,2.0,10.0,1,6,0.0,9.28106121664e-06,1.71428571429,0.22,0.000120026405809,6.00132029046e-05,5.0,1.0
584,publicrelations,talkabout,1,0.00792174278341,0.0025805677249,0.00534117505851,43.0,89.0,22,40,0.306930693069,2.02235241666e-05,0.000660145231951,0.000120026405809,0.000540118826142,22.0,20.0,2,8,0.0,2.92471122269e-07,3.81818181818,2.48,0.000180039608714,0.000120026405809,7.0,2.0
584,publicrelations,davidalston,1,0.0586328992378,0.0233451359299,0.0352877633079,389.0,588.0,88,103,0.5632,0.000236267372052,0.00744163716018,0.00162035647843,0.00582128068175,122.0,359.0,12,34,0.148148148148,8.66992990675e-05,3.87903225806,38.1821315193,0.00102022444938,0.000360079217428,27.0,9.0
584,publicrelations,jprpublicity,1,0.0393086479025,0.0117025745664,0.0276060733361,195.0,460.0,66,85,0.339468302658,8.14139602136e-05,0.013863049871,0.000840184840665,0.0130228650303,17.0,651.0,10,52,0.05,0.00019751019002,2.89177489177,6.83040816327,6.00132029046e-05,0.000180039608714,1.0,3.0
584,publicrelations,BusinessWire,1,0.0136830102623,0.00768168997179,0.00600132029046,128.0,100.0,47,37,0.239130434783,1.53519451564e-05,0.00792174278341,0.00270059413071,0.0052211486527,63.0,256.0,32,29,0.00763358778626,0.000612418415059,2.41666666667,25.9151185323,0.000360079217428,0.000240052811619,6.0,5.0
584,publicrelations,arikhanson,1,0.0346876312789,0.0124827462042,0.0222048850747,208.0,370.0,60,81,0.295964125561,0.000220691423839,0.00732161075437,0.00318069975395,0.00414091100042,137.0,206.0,23,28,0.232323232323,0.000288232307729,2.81147540984,62.8742383014,0.000300066014523,6.00132029046e-05,5.0,1.0
584,publicrelations,dbreakenridge,2,0.0293464562204,0.0136229970594,0.015723459161,227.0,262.0,65,70,0.518633540373,3.68121649283e-05,0.00702154473984,0.00204044889876,0.00498109584109,106.0,273.0,18,28,0.158415841584,0.00069109442907,3.23931623932,52.6888868274,0.000180039608714,0.0,4.0,0
584,publicrelations,kamichat,1,0.0194442777411,0.00966212566765,0.00978215207346,161.0,163.0,49,51,0.414847161572,2.04728496638e-05,0.00678149192822,0.00204044889876,0.00474104302947,113.0,347.0,19,29,0.202127659574,0.000245371049368,4.07079646018,38.0700267986,0.000540118826142,0.000300066014523,19.0,5.0
584,publicrelations,EONpr,1,0.0139230630739,0.00696153153694,0.00696153153694,116.0,116.0,47,47,0.798449612403,1.06116458957e-05,0.0025805677249,0.000660145231951,0.00192042249295,15.0,39.0,10,17,0.0238095238095,3.93619836976e-05,1.25581395349,7.04786229643,6.00132029046e-05,0.000240052811619,1.0,13.0
584,publicrelations,ShannonPaul,1,0.0439896777291,0.0218448058573,0.0221448718718,364.0,369.0,87,90,0.59347826087,0.000198024884253,0.0105623237112,0.00324071295685,0.00732161075437,121.0,562.0,23,44,0.150326797386,0.000249059671739,3.88068181818,55.1364254793,0.000600132029046,0.000360079217428,26.0,6.0
584,publicrelations,DenverPR,1,0.0719558302827,0.0337274200324,0.0382284102503,562.0,637.0,117,122,0.867601246106,0.000195849755798,0.00492108263818,0.000480105623237,0.00444097701494,11.0,113.0,7,40,0.0123456790123,0.000241122804324,1.51219512195,2.70346938776,0.000420092420332,6.00132029046e-05,7.0,1.0
584,publicrelations,ValerieSimon,1,0.0253255716258,0.0128428254216,0.0124827462042,214.0,208.0,54,50,0.729508196721,4.28919709721e-05,0.00930204645022,0.00144031686971,0.00786172958051,59.0,370.0,11,40,0.0763888888889,0.000112092916238,2.76774193548,24.0965574108,0.000300066014523,0.000300066014523,7.0,7.0
584,publicrelations,PRTweets,1,0.00162035647843,0.00144031686971,0.000180039608714,24.0,3.0,13,2,0.0384615384615,1.0173198619e-08,0.00234051491328,6.00132029046e-05,0.00228050171038,1.0,71.0,1,17,0.0,7.38356096184e-06,1.84615384615,0.28,0.0,0.000240052811619,0,5.0
584,publicrelations,PRVille,1,0.00576126747885,0.00192042249295,0.0038408449859,32.0,64.0,18,32,0.352112676056,1.88973439311e-06,0.00504110904399,0.000120026405809,0.00492108263818,2.0,270.0,2,30,0.0120481927711,2.13331050362e-05,3.2380952381,0.381224489796,0.0,0.000120026405809,0,2.0
584,publicrelations,countUP,1,0.0136229970594,0.00636139950789,0.00726159755146,106.0,121.0,45,48,0.694029850746,2.05081460629e-05,0.00090019804357,0.000180039608714,0.000720158434856,40.0,16.0,2,10,0.0714285714286,0.000101981000976,3.73333333333,5.54959183673,0.000180039608714,0.000600132029046,5.0,12.0
584,publicrelations,StoryAssistant,1,0.022624977495,0.00762167676889,0.0150033007262,127.0,250.0,52,66,0.461240310078,1.9143037305e-05,0.00594130708756,0.000360079217428,0.00558122787013,10.0,413.0,6,34,0.0531914893617,8.13872022354e-05,4.27272727273,2.93525458668,0.0,0.000180039608714,0,3.0
584,publicrelations,tressalynne,1,0.0175238552482,0.00876192762408,0.00876192762408,146.0,146.0,36,35,0.883870967742,8.38043464502e-06,0.00474104302947,0.00078017163776,0.00396087139171,19.0,126.0,9,31,0.0821917808219,0.000103238272935,1.83544303797,11.2339084725,0.000120026405809,0.000240052811619,2.0,4.0
