Name,Original Category,Original Category Place,Assigned Category,Assigned Category Place,Competing Categories,Details
TomFelton,tvshows_drama_hollywood,206,tvshows_drama_hollywood,206,1,"tvshows_drama_hollywood,206"
MsLaurenLondon,tvshows_drama_hollywood,407,tvshows_drama_hollywood,407,1,"tvshows_drama_hollywood,407"
brookeburke,tvshows_drama_hollywood,322,tvshows_drama_hollywood,322,1,"tvshows_drama_hollywood,322"
MarkSalling,tvshows_drama_hollywood,72,tvshows_drama_hollywood,72,1,"tvshows_drama_hollywood,72"
ThatKevinSmith,tvshows_drama_hollywood,166,tvshows_drama_hollywood,166,1,"tvshows_drama_hollywood,166"
lindsaylohan,tvshows_drama_hollywood,24,tvshows_drama_hollywood,24,1,"tvshows_drama_hollywood,24"
PamelaDAnderson,tvshows_drama_hollywood,265,tvshows_drama_hollywood,265,1,"tvshows_drama_hollywood,265"
ZooeyDeschanel,tvshows_drama_hollywood,69,tvshows_drama_hollywood,69,1,"tvshows_drama_hollywood,69"
michaelianblack,tvshows_drama_hollywood,434,tvshows_drama_hollywood,434,1,"tvshows_drama_hollywood,434"
alydenisof,tvshows_drama_hollywood,66,tvshows_drama_hollywood,66,1,"tvshows_drama_hollywood,66"
drama_add,tvshows_drama_hollywood,388,tvshows_drama_hollywood,388,1,"tvshows_drama_hollywood,388"
JoeMantegna,tvshows_drama_hollywood,129,tvshows_drama_hollywood,129,1,"tvshows_drama_hollywood,129"
accesshollywood,tvshows_drama_hollywood,326,tvshows_drama_hollywood,326,1,"tvshows_drama_hollywood,326"
SophiaBush,tvshows_drama_hollywood,192,tvshows_drama_hollywood,192,1,"tvshows_drama_hollywood,192"
theroxy,tvshows_drama_hollywood,475,tvshows_drama_hollywood,475,1,"tvshows_drama_hollywood,475"
LateNightJimmy,tvshows_drama_hollywood,345,tvshows_drama_hollywood,345,1,"tvshows_drama_hollywood,345"
danieltosh,tvshows_drama_hollywood,225,tvshows_drama_hollywood,225,1,"tvshows_drama_hollywood,225"
DitaVonTeese,tvshows_drama_hollywood,300,tvshows_drama_hollywood,300,1,"tvshows_drama_hollywood,300"
Schwarzenegger,tvshows_drama_hollywood,153,tvshows_drama_hollywood,153,1,"tvshows_drama_hollywood,153"
KrisJenner,tvshows_drama_hollywood,490,tvshows_drama_hollywood,490,1,"tvshows_drama_hollywood,490"
sevinnyne6126,tvshows_drama_hollywood,253,tvshows_drama_hollywood,253,1,"tvshows_drama_hollywood,253"
russellcrowe,tvshows_drama_hollywood,70,tvshows_drama_hollywood,70,1,"tvshows_drama_hollywood,70"
AudrinaPatridge,tvshows_drama_hollywood,139,tvshows_drama_hollywood,139,1,"tvshows_drama_hollywood,139"
SherriEShepherd,tvshows_drama_hollywood,456,tvshows_drama_hollywood,456,1,"tvshows_drama_hollywood,456"
JASMINEVILLEGAS,tvshows_drama_hollywood,427,tvshows_drama_hollywood,427,1,"tvshows_drama_hollywood,427"
AmericanFilm,tvshows_drama_hollywood,271,tvshows_drama_hollywood,271,1,"tvshows_drama_hollywood,271"
keshasuxx,tvshows_drama_hollywood,146,tvshows_drama_hollywood,146,1,"tvshows_drama_hollywood,146"
GLEEonFOX,tvshows_drama_hollywood,15,tvshows_drama_hollywood,15,1,"tvshows_drama_hollywood,15"
aliciakeys,tvshows_drama_hollywood,113,tvshows_drama_hollywood,113,1,"tvshows_drama_hollywood,113"
amandatapping,tvshows_drama_hollywood,368,tvshows_drama_hollywood,368,1,"tvshows_drama_hollywood,368"
tntweknowdrama,tvshows_drama_hollywood,455,tvshows_drama_hollywood,455,1,"tvshows_drama_hollywood,455"
WalkingDead_AMC,tvshows_drama_hollywood,416,tvshows_drama_hollywood,416,1,"tvshows_drama_hollywood,416"
Beyonce,tvshows_drama_hollywood,356,tvshows_drama_hollywood,356,1,"tvshows_drama_hollywood,356"
joejonas,tvshows_drama_hollywood,140,tvshows_drama_hollywood,140,1,"tvshows_drama_hollywood,140"
LeoDiCaprio,tvshows_drama_hollywood,29,tvshows_drama_hollywood,29,1,"tvshows_drama_hollywood,29"
CarrieFFisher,tvshows_drama_hollywood,302,tvshows_drama_hollywood,302,1,"tvshows_drama_hollywood,302"
shakira,tvshows_drama_hollywood,110,tvshows_drama_hollywood,110,1,"tvshows_drama_hollywood,110"
usweekly,tvshows_drama_hollywood,96,tvshows_drama_hollywood,96,1,"tvshows_drama_hollywood,96"
NCISLA_CBS,tvshows_drama_hollywood,126,tvshows_drama_hollywood,126,1,"tvshows_drama_hollywood,126"
BarackObama,tvshows_drama_hollywood,208,tvshows_drama_hollywood,208,1,"tvshows_drama_hollywood,208"
ehasselbeck,tvshows_drama_hollywood,477,tvshows_drama_hollywood,477,1,"tvshows_drama_hollywood,477"
cinematoday,tvshows_drama_hollywood,195,tvshows_drama_hollywood,195,1,"tvshows_drama_hollywood,195"
MileyCyrus,tvshows_drama_hollywood,103,tvshows_drama_hollywood,103,1,"tvshows_drama_hollywood,103"
SonyPictures,tvshows_drama_hollywood,228,tvshows_drama_hollywood,228,1,"tvshows_drama_hollywood,228"
johncusack,tvshows_drama_hollywood,102,tvshows_drama_hollywood,102,1,"tvshows_drama_hollywood,102"
AvrilLavigne,tvshows_drama_hollywood,249,tvshows_drama_hollywood,249,1,"tvshows_drama_hollywood,249"
adamlevine,tvshows_drama_hollywood,131,tvshows_drama_hollywood,131,1,"tvshows_drama_hollywood,131"
kelly_clarkson,tvshows_drama_hollywood,163,tvshows_drama_hollywood,163,1,"tvshows_drama_hollywood,163"
omarepps,tvshows_drama_hollywood,174,tvshows_drama_hollywood,174,1,"tvshows_drama_hollywood,174"
ericstonestreet,tvshows_drama_hollywood,341,tvshows_drama_hollywood,341,1,"tvshows_drama_hollywood,341"
PaulaAbdul,tvshows_drama_hollywood,160,tvshows_drama_hollywood,160,1,"tvshows_drama_hollywood,160"
FoxJapanOnline,tvshows_drama_hollywood,350,tvshows_drama_hollywood,350,1,"tvshows_drama_hollywood,350"
HartHanson,tvshows_drama_hollywood,444,tvshows_drama_hollywood,444,1,"tvshows_drama_hollywood,444"
MasiOka,tvshows_drama_hollywood,408,tvshows_drama_hollywood,408,1,"tvshows_drama_hollywood,408"
DAVID_LYNCH,tvshows_drama_hollywood,86,tvshows_drama_hollywood,86,1,"tvshows_drama_hollywood,86"
EvaLongoria,tvshows_drama_hollywood,32,tvshows_drama_hollywood,32,1,"tvshows_drama_hollywood,32"
