Project,Name,Member_count,FF_Nodes,AT_Nodes,RT_Nodes,FF_bin_density,AT_density,FF_bin_avg_path_length,AT_bin_avg_path_length,FF_bin_clustering,AT_bin_clustering,FF_reciprocity,AT_reciprocity,FF_bin_transitivity,AT_bin_transitivity,RT_density,RT_total_volume
584,outdoors_hiking,12172,101,101,101,0.414257425743,0.684257425743,1.56689342404,1.81199752628,0.6914162366,0.408113732295,0.60861207228,0.345433255269,0.524363919459,0.257995735608,0.220198019802,2224.0
584,parenting,13635,101,101,101,0.542376237624,0.349801980198,1.38732673267,2.08591065292,0.776980181263,0.366735116957,0.707605985037,0.281446540881,0.63788263121,0.297431161854,0.153366336634,1549.0
584,peace,5385,101,101,101,0.282772277228,0.0477227722772,1.90257425743,1.68826360607,0.74772538335,0.261036559101,0.454175152749,0.0829268292683,0.508984951538,0.175789473684,0.308613861386,3117.0
584,perl,1323,101,101,101,0.362376237624,1.30792079208,1.50435643564,1.80717441616,0.730897956464,0.597427474921,0.418604651163,0.50296735905,0.470748636589,0.45669008587,0.285643564356,2885.0
584,pharma,5722,101,101,101,0.54504950495,0.641188118812,1.3004950495,1.68077403246,0.832166893467,0.476426150046,0.528742016107,0.356968215159,0.609610498917,0.447386431688,0.329504950495,3328.0
584,philosophy,4185,101,101,101,0.152079207921,0.538514851485,1.88696969697,1.93983614951,0.560544846606,0.52656313362,0.413063477461,0.386486486486,0.369623655914,0.451761744966,0.187524752475,1894.0
584,photography,68938,101,101,101,0.301188118812,0.20801980198,1.63544554455,1.69803921569,0.640819599229,0.345340339141,0.481012658228,0.281124497992,0.40209082239,0.290678754068,0.253267326733,2558.0
584,php,4296,101,101,101,0.359405940594,3.57,1.61871287129,1.61508520934,0.716849578588,0.707478730656,0.414102064667,0.608971233545,0.534413044676,0.639364819737,0.584653465347,5905.0
584,piano,1536,101,101,101,0.201386138614,0.550891089109,2.10158415842,3.10954235638,0.619114657182,0.387770806591,0.687966804979,0.518644067797,0.486068169119,0.488048916064,0.0616831683168,623.0
584,poetry,7552,101,101,101,0.352475247525,0.556138613861,1.5597029703,2.17127192982,0.654304245423,0.352908554097,0.645862228387,0.269662921348,0.5121521841,0.359954793746,0.61396039604,6201.0
584,poker,10632,101,101,101,0.400693069307,1.04702970297,1.57455445545,1.7199009901,0.745623705637,0.497268201447,0.399861639571,0.37995049505,0.447103539324,0.388794844381,0.399306930693,4033.0
