Project,Community,Person_ID,Place_on_list,Shared_Language,Other_language,FF_bin_deg,FF_bin_in_deg,FF_bin_out_deg,FF_vol_in,FF_vol_out,FF_bin_close,FF_bin_page,FF_rec,AT_bin_deg,AT_bin_in_deg,AT_bin_out_deg,AT_bin_close,AT_bin_page,AT_rec,AT_avg,AT_vol_in,AT_vol_out,RT_bin_deg_in,RT_bin_deg_out,RT_vol_in,RT_vol_out,RT_global_vol_in,RT_global_vol_out
584,advertising,TalentZoo,43,41,0,0.43,0.22,0.21,22,21,0.558659218,0.00547845,0.954545455,0.12,0.06,0.06,0.421928251,0.004892471,0.090909091,8.666666667,33,71,0.020408163,0.020408163,7,22,51,66
584,advertising,OGILVY,9,19,0,1.25,0.6,0.65,60,65,0.740740741,0.014268729,0.666666667,0.24,0.2,0.04,0.395336134,0.007803519,0.090909091,5.125,118,5,0.071428571,0.051020408,30,5,77,5
584,advertising,TBWALONDON,59,8,0,0.27,0.23,0.04,23,4,0.502512563,0.005622586,0.125,0.13,0.05,0.08,0.435601852,0.002984379,0.3,2.846153846,22,15,0.051020408,0.051020408,26,24,29,25
584,advertising,W2Optimism,51,24,0,0.54,0.34,0.2,34,20,0.555555556,0.009315922,0.384615385,0.31,0.16,0.15,0.495210526,0.017898095,0.409090909,3.225806452,55,45,0.030612245,0.091836735,13,17,17,19
584,advertising,wunderman,77,28,0,0.38,0.19,0.19,19,19,0.549450549,0.005222303,0.266666667,0.12,0.03,0.09,0.443820755,0.002198104,0.090909091,4.833333333,28,30,0.020408163,0.030612245,2,6,2,7
584,advertising,michaelgass,46,152,0,0.82,0.41,0.41,41,41,0.628930818,0.01131938,1,0.13,0.06,0.07,0.421928251,0.00337712,0.181818182,17.46153846,48,179,0.020408163,0.193877551,2,55,11,97
584,advertising,leeclowsbeard,28,35,0,0.49,0.32,0.17,32,17,0.546448087,0.007856619,0.324324324,0.08,0.08,0,0,0.002821161,0,3.125,25,0,0.071428571,0,14,0,52,0
584,advertising,Schwartzie14,55,21,0,1.4,0.52,0.88,52,88,0.892857143,0.013926539,0.573033708,0.45,0.2,0.25,0.543872832,0.016733305,0.451612903,5.711111111,127,130,0.071428571,0.12244898,39,26,50,36
584,advertising,CampaignAsia,42,19,0,0.72,0.39,0.33,39,33,0.598802395,0.010192004,0.5,0.15,0.15,0,0,0.008531411,0,3.4,51,0,0.071428571,0,19,0,34,0
584,advertising,adrants,13,78,0,0.54,0.47,0.07,47,7,0.505050505,0.011383702,0.125,0.28,0.2,0.08,0.429634703,0.005318228,0.166666667,2.214285714,45,17,0.081632653,0,11,0,18,0
584,advertising,BrandRepublic,12,22,0,0.99,0.55,0.44,55,44,0.641025641,0.013592389,0.767857143,0.16,0.11,0.05,0.385614754,0.010750452,0.142857143,2.5,23,17,0.071428571,0.020408163,18,5,101,15
584,advertising,mr_burnett,47,239,0,0.33,0.21,0.12,21,12,0.531914894,0.005435442,0.434782609,0.04,0.02,0.02,0.332473498,0.002007817,0,1.5,4,2,0.010204082,0,2,0,3,0
584,advertising,wearefallon,83,6,0,0.18,0.14,0.04,14,4,0.497512438,0.003704262,0.058823529,0.06,0.03,0.03,0.345919118,0.00268308,0.2,1.5,4,5,0.010204082,0.010204082,1,1,1,2
584,advertising,saatchilondon,60,20,0,0.44,0.22,0.22,22,22,0.561797753,0.005518764,0.466666667,0.22,0.08,0.14,0.487512953,0.004576902,0.157894737,2.318181818,19,32,0.030612245,0.051020408,18,5,19,7
584,advertising,TBWA,5,19,0,1.24,0.57,0.67,57,67,0.751879699,0.013966874,0.61038961,0.47,0.22,0.25,0.531581921,0.00905378,0.27027027,6.723404255,87,229,0.102040816,0.173469388,60,103,65,109
584,advertising,Razorfish,15,56,0,1.17,0.59,0.58,59,58,0.704225352,0.014481982,0.671428571,0.33,0.12,0.21,0.505860215,0.002773079,0.1,7.121212121,21,214,0.081632653,0,16,0,63,1
584,advertising,ogilvypr,97,19,0,0.43,0.19,0.24,19,24,0.568181818,0.005279527,0.433333333,0.2,0.08,0.12,0.492617801,0.003889685,0.333333333,12.35,82,165,0.06122449,0.102040816,43,93,58,127
584,advertising,chiatdaynight,74,19,0,1.22,0.37,0.85,37,85,0.869565217,0.010773427,0.418604651,0.25,0.1,0.15,0.495210526,0.003424301,0.19047619,2.32,24,34,0.030612245,0.244897959,6,51,7,111
584,advertising,CLIOAwards,57,19,0,1.45,0.45,1,45,100,1,0.01125923,0.45,0.97,0.2,0.77,0.804188034,0.008620708,0.2125,7.536082474,65,666,0.112244898,0.336734694,20,74,39,113
